,Forecast
2023,1.5088894401170223
2024,1.5602186082564078
2025,1.4752965024642075
2026,1.4485071658915152
2027,1.5081282089535044
2028,1.5159948452372696
2029,1.4817558466721783
2030,1.4764647893432357
2031,1.5001535963157695
2032,1.5008972196950319
2033,1.4862542303299986
2034,1.486772685797841
2035,1.495906734839042
2036,1.4950317493071201
2037,1.4892271546967024
2038,1.4902752624196902
2039,1.4938122107493423
2040,1.4929246239388605
2041,1.4907431146190784
2042,1.491464482760557
2043,1.4927897877504557
2044,1.4922367615208223
2045,1.4914427763925417
2046,1.491846847365376
2047,1.4923202910383029
